match_id,team_side,team_id,team_name,formation_name,period,start_expanded,end_expanded,duration_expanded
1913919,away,819,Getafe,532,16,0,51,51
1913919,away,819,Getafe,532,2,51,63,12
1913919,away,819,Getafe,532,2,63,63,0
1913919,away,819,Getafe,532,2,63,64,1
1913919,away,819,Getafe,442,2,64,97,33
1913919,home,55,Valencia,4231,16,0,67,67
1913919,home,55,Valencia,4231,16,67,68,1
1913919,home,55,Valencia,4231,16,68,88,20
1913919,home,55,Valencia,4231,16,88,92,4
1913919,home,55,Valencia,343,2,92,97,5
